epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,8065.08,0.74881,1.35076,1.481,1.03379,0.82717,0.70544,0.75207,0.45539,0.73438,0.62774,0.65069,0.31621,1.54713,3.23725,3.3152,1.80931,0.007129,0.007129,0.007129
31,8333.98,0.74584,1.34511,1.47189,1.03157,0.82228,0.71575,0.75102,0.44922,0.77882,0.65391,0.66455,0.31805,1.58375,3.22763,3.36954,1.85167,0.00703,0.00703,0.00703
32,8604.54,0.7348,1.3327,1.44473,1.0272,0.83221,0.70657,0.75503,0.45226,0.72961,0.61772,0.65088,0.3077,1.57427,3.24903,3.48089,1.84268,0.006931,0.006931,0.006931
33,8874.51,0.72717,1.30652,1.42497,1.02389,0.80786,0.7087,0.7531,0.45334,0.73664,0.64497,0.66474,0.32187,1.58788,3.28315,3.44726,1.85193,0.006832,0.006832,0.006832
34,9144.87,0.71813,1.29255,1.41124,1.01543,0.8199,0.69494,0.75288,0.45179,0.75213,0.63494,0.66533,0.31598,1.58064,3.28362,3.22778,1.84358,0.006733,0.006733,0.006733
35,9413.75,0.70633,1.26967,1.37812,1.01073,0.83566,0.68144,0.75307,0.44815,0.74969,0.60446,0.63713,0.31443,1.58439,3.3217,3.38861,1.8494,0.006634,0.006634,0.006634
36,9684.19,0.69984,1.25233,1.37099,1.00591,0.83752,0.66485,0.7462,0.45226,0.75981,0.60148,0.65581,0.316,1.59687,3.38786,3.38994,1.86085,0.006535,0.006535,0.006535
37,9954.05,0.69342,1.24276,1.34761,1.00874,0.80262,0.6933,0.7436,0.45045,0.74768,0.61921,0.65698,0.31652,1.54647,3.38623,3.3925,1.85992,0.006436,0.006436,0.006436
38,10226.6,0.68716,1.22814,1.33899,1.00067,0.83101,0.70165,0.74858,0.45601,0.7463,0.6269,0.65647,0.3151,1.54653,3.39046,3.51874,1.8444,0.006337,0.006337,0.006337
39,10497.5,0.68052,1.21843,1.32219,0.99882,0.8254,0.70632,0.75889,0.45386,0.75189,0.61879,0.65279,0.31583,1.56675,3.39891,3.41907,1.8573,0.006238,0.006238,0.006238
40,10768,0.67643,1.19284,1.31009,0.9976,0.79347,0.72418,0.75692,0.44667,0.72177,0.6252,0.65155,0.31644,1.59959,3.49172,3.50178,1.89506,0.006139,0.006139,0.006139
41,11038.7,0.66792,1.18049,1.29353,0.99194,0.81022,0.71971,0.74484,0.44426,0.69922,0.64241,0.64137,0.31431,1.60386,3.41118,3.34722,1.89873,0.00604,0.00604,0.00604
42,11308.2,0.66063,1.17139,1.27305,0.98709,0.79144,0.72483,0.75157,0.44581,0.69755,0.62903,0.64433,0.31541,1.60946,3.44998,3.31862,1.92016,0.005941,0.005941,0.005941
43,11578.5,0.65063,1.15208,1.25247,0.98313,0.81453,0.73383,0.76584,0.45002,0.72632,0.62876,0.65283,0.31879,1.60113,3.4792,3.19226,1.92067,0.005842,0.005842,0.005842
44,11848.1,0.64939,1.14859,1.24793,0.98237,0.80289,0.72176,0.75914,0.46226,0.77089,0.61204,0.676,0.3279,1.56046,3.49238,3.26495,1.87864,0.005743,0.005743,0.005743
45,12117.7,0.6447,1.14384,1.25026,0.97722,0.84385,0.70315,0.75164,0.45842,0.75818,0.63381,0.6653,0.32942,1.54416,3.50389,3.24031,1.85191,0.005644,0.005644,0.005644
46,12388.3,0.63343,1.11737,1.2137,0.97462,0.84636,0.69574,0.75658,0.46218,0.74216,0.61168,0.65209,0.32302,1.55948,3.5383,3.32792,1.86769,0.005545,0.005545,0.005545
47,12657.9,0.62714,1.10935,1.20387,0.97029,0.84592,0.70354,0.77183,0.47494,0.75253,0.62471,0.67385,0.33216,1.56799,3.53328,3.29668,1.8855,0.005446,0.005446,0.005446
48,12928.7,0.62476,1.09541,1.20565,0.97182,0.82498,0.71545,0.77081,0.47147,0.69538,0.62359,0.65642,0.33225,1.56956,3.53482,3.32974,1.90883,0.005347,0.005347,0.005347
