epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,9322.12,0.76935,1.39015,1.48607,1.08733,0.77394,0.7092,0.74456,0.46212,0.77486,0.63393,0.68894,0.33045,1.56149,3.06254,3.41615,2.01456,0.007129,0.007129,0.007129
31,9632.33,0.76515,1.38447,1.47529,1.08131,0.81247,0.67099,0.73638,0.45772,0.76076,0.62181,0.67804,0.33415,1.56084,3.0934,3.3547,2.00955,0.00703,0.00703,0.00703
32,9943.49,0.75931,1.37887,1.45973,1.07737,0.79026,0.70925,0.75318,0.46162,0.73441,0.65031,0.68204,0.33492,1.58513,3.03205,3.45526,2.05043,0.006931,0.006931,0.006931
33,10253.8,0.74363,1.34491,1.4327,1.0701,0.79332,0.71763,0.75346,0.4595,0.71116,0.64399,0.67126,0.34103,1.55932,3.02923,3.35206,2.03845,0.006832,0.006832,0.006832
34,10564.7,0.73625,1.33098,1.41282,1.06554,0.82952,0.67826,0.74988,0.46141,0.75175,0.61202,0.66062,0.33056,1.56346,3.05023,3.46351,2.00866,0.006733,0.006733,0.006733
35,10874.1,0.72958,1.31099,1.39626,1.05948,0.77952,0.6941,0.74988,0.45923,0.7034,0.63303,0.67017,0.33764,1.54243,3.16458,3.5537,1.99107,0.006634,0.006634,0.006634
36,11188.4,0.72006,1.29041,1.37552,1.05076,0.80293,0.67803,0.74102,0.45237,0.7469,0.63124,0.67207,0.33027,1.54356,3.15143,3.50976,2.00632,0.006535,0.006535,0.006535
37,11501.1,0.71224,1.28134,1.34903,1.0497,0.80802,0.70934,0.76766,0.46951,0.75342,0.63465,0.6782,0.34072,1.54218,3.13804,3.52877,2.02794,0.006436,0.006436,0.006436
38,11816.1,0.70643,1.26663,1.34778,1.05019,0.81331,0.68333,0.75311,0.45949,0.73897,0.61082,0.66553,0.33584,1.56336,3.15683,3.6438,2.04956,0.006337,0.006337,0.006337
39,12127.9,0.70375,1.2582,1.33455,1.04427,0.80863,0.69077,0.74598,0.45335,0.73606,0.62902,0.65839,0.33117,1.55403,3.2343,3.53791,2.04796,0.006238,0.006238,0.006238
40,12437.4,0.69477,1.23584,1.30556,1.04067,0.80241,0.69463,0.74367,0.44879,0.77782,0.62741,0.67062,0.3351,1.54421,3.22762,3.65009,2.06184,0.006139,0.006139,0.006139
41,12748.6,0.6913,1.22161,1.29973,1.03493,0.81876,0.66827,0.73815,0.44524,0.76944,0.62628,0.665,0.32638,1.56896,3.21315,3.51799,2.08362,0.00604,0.00604,0.00604
42,13057.3,0.67882,1.20776,1.28106,1.03002,0.78456,0.6925,0.73635,0.46128,0.75523,0.61369,0.66271,0.3379,1.53453,3.22046,3.50905,2.06683,0.005941,0.005941,0.005941
43,13369.6,0.66865,1.1933,1.26382,1.02289,0.8181,0.66165,0.75352,0.47262,0.7733,0.60089,0.68071,0.34655,1.54677,3.18899,3.56443,2.07593,0.005842,0.005842,0.005842
44,13681.2,0.66527,1.18354,1.25066,1.02311,0.80996,0.68245,0.74717,0.46553,0.76642,0.61675,0.67182,0.33905,1.55133,3.21793,3.58282,2.06467,0.005743,0.005743,0.005743
45,13989.9,0.65963,1.1767,1.24314,1.01842,0.80017,0.69353,0.75176,0.47087,0.77775,0.61275,0.6778,0.34105,1.54548,3.2104,3.45712,2.03492,0.005644,0.005644,0.005644
46,14301.9,0.6495,1.15265,1.20946,1.01496,0.7851,0.69391,0.74918,0.4616,0.74538,0.62679,0.67197,0.33826,1.56447,3.24048,3.45329,2.05821,0.005545,0.005545,0.005545
47,14611.5,0.64212,1.14041,1.20176,1.01159,0.79163,0.70491,0.76404,0.47534,0.73648,0.64529,0.68153,0.34382,1.54948,3.23526,3.48531,2.07346,0.005446,0.005446,0.005446
48,14922.9,0.63636,1.12754,1.18463,1.0071,0.81248,0.70336,0.7644,0.4744,0.72334,0.62839,0.66864,0.34436,1.54778,3.22248,3.49045,2.05961,0.005347,0.005347,0.005347
49,15233.2,0.63452,1.12175,1.18556,1.00691,0.82008,0.71421,0.76532,0.47119,0.7349,0.6358,0.67118,0.34226,1.5506,3.25006,3.45834,2.07355,0.005248,0.005248,0.005248
50,15546.2,0.62797,1.10952,1.16599,1.00478,0.82609,0.71865,0.7709,0.4815,0.7742,0.63531,0.69733,0.35078,1.54664,3.28138,3.54062,2.08565,0.005149,0.005149,0.005149
51,15859.4,0.62676,1.09713,1.15917,0.99931,0.82089,0.70019,0.76159,0.48111,0.75447,0.63472,0.69439,0.35063,1.54366,3.29525,3.5849,2.08191,0.00505,0.00505,0.00505
52,16170.7,0.61934,1.08737,1.14,0.99429,0.82537,0.70981,0.76565,0.47334,0.74857,0.64097,0.69402,0.34461,1.55015,3.35731,3.64518,2.0925,0.004951,0.004951,0.004951
53,16483.1,0.61329,1.07152,1.13123,0.99049,0.83913,0.70451,0.77192,0.47894,0.73185,0.64563,0.67829,0.34279,1.55102,3.38358,3.57681,2.09447,0.004852,0.004852,0.004852
54,16793.7,0.60755,1.0631,1.11693,0.98745,0.82997,0.71434,0.76789,0.47949,0.74145,0.64238,0.68022,0.34207,1.53886,3.40653,3.51273,2.07374,0.004753,0.004753,0.004753
55,17105,0.60452,1.05539,1.11564,0.98762,0.83202,0.71221,0.76863,0.48261,0.73593,0.64719,0.68081,0.34778,1.53072,3.40862,3.42489,2.07357,0.004654,0.004654,0.004654
